Title,Abstract,Authors,DOI,DOI link,Venue,Citation count,Year,Consciousness Research Context,"Reasoning for ""Consciousness Research Context""",Eligible Study Type,"Reasoning for ""Eligible Study Type""",Empirical Neural Data Application,"Reasoning for ""Empirical Neural Data Application""",Quantitative Complexity-Family Measures Applied,"Reasoning for ""Quantitative Complexity-Family Measures Applied""",Screening judgement,"Reasoning for ""Screening judgement""",Excluded by strict criterion,Exclusion reason,Screening score
The effect of striatal dopaminergic grafts on the neuronal activity in the substantia nigra pars reticulata and subthalamic nucleus in hemiparkinsonian rats.,"The electrophysiological correlates of parkinsonism in the basal ganglia have been well studied in patients with Parkinson's disease and animal models. Separately, striatal dopaminergic cell transplantation has shown promise in ameliorating parkinsonian motor symptoms. However, the effect of dopaminergic grafts on basal ganglia electrophysiology has not thoroughly been investigated. In this study, we transplanted murine foetal ventral mesencephalic cells into rats rendered hemiparkinsonian by 6-hydroxydopamine injection. Three months after transplantation, extracellular and local field potential recordings were taken under urethane anaesthesia from the substantia nigra pars reticulata and subthalamic nucleus along with cortical electroencephalograms and were compared to recordings from normal and hemiparkinsonian controls. Recordings from cortical slow-wave activity and global activation states were analysed separately. Rats with histologically confirmed xenografts showed behavioural improvement measured by counting apomorphine-induced rotations and with the extended body axis test. Firing rates in both nuclei were not significantly different between control and grafted groups. However, burst firing patterns in both nuclei in the slow-wave activity state were significantly reduced (P < 0.05) in rats with large surviving grafts, compared to hemiparkinsonian controls. The neuronal firing entropies and oscillations in both nuclei were restored to normal levels in the large-graft group. Electroencephalogram spike-triggered averages also showed normalization in the slow-wave activity state (P < 0.05). These results suggest that local continuous dopaminergic stimulation exerts a normalizing effect on the downstream parkinsonian basal ganglia firing patterns. This novel finding is relevant to future preclinical and clinical investigations of cell transplantation and the development of next-generation therapies for Parkinson's disease that ameliorate pathophysiological neural activity and provide optimal recovery of function.","Gilmour TP, Piallat B, Lieu CA, Venkiteswaran K, Ramachandra R, Rao AN, Petticoffer AC, Berk MA, Subramanian T",,,Brain : a journal of neurology,,2011,no,"The paper does not explicitly investigate consciousness, states of consciousness, or transitions between conscious states. While it mentions ""global activation states"" and ""slow-wave activity,"" these are discussed in the context of Parkinson's disease pathology rather than consciousness research. The study does not interpret findings in relation to consciousness mechanisms.",yes,"This is clearly an empirical research article with original experimental data, including behavioral measurements and electrophysiological recordings.",yes,"The study analyzes multiple types of neural data, including extracellular recordings, local field potential recordings, and cortical electroencephalograms. The analysis includes quantitative measures of neural activity patterns.",maybe,"The paper mentions analyzing ""neuronal firing entropies"" and oscillations, which partially meets this criterion. However, it's not clear if these are the primary analysis methods or if they're part of a broader analysis. The entropy measure is mentioned but not extensively detailed in the abstract.",Include,"This empirical research article on Parkinson's disease provides detailed neural data analysis, including electrophysiological recordings and entropy measures, but lacks explicit investigation of consciousness mechanisms. While the study meets criteria for empirical research and neural data application, it does not address consciousness research contexts, which is a critical screening requirement. Consequently, the paper does not align sufficiently with the specified screening criteria for inclusion.",,,2.7
[Use of microcomputers in polysomnography].,"Constantly falling prices and increasing power combine to make the personal computer an attractive alternative to established recording devices for use in polysomnography. Apart from its price advantage, digital recording of psychophysiological signals offers the possibility of selective display (compression and zooming to parts of special interest), and also semi-automatic evaluation. In order to be able to feed the data acquired in the sleep laboratory into the computer, an interface for signal matching, an analog/digital converter, and suitable software, are required. In order to reduce the wealth of data to the clinically relevant (and, in the last resort, also manageable) amount, preprocessing hardware, such as EEG filters, snore detectors, etc., are required. The system we recommend comprises individual hardware, modules for the pickup of physiological signals, and flexibly combinable software routines that permit adaptation to any future expansions of changing medical problems.","Freitag L, Teschler H, Schroer M, Saalfeld S, Konietzko N",,,"Pneumologie (Stuttgart, Germany)",,1989,no,"The paper discusses polysomnography, which is related to sleep states and consciousness transitions. However, the focus appears to be on technical aspects of computer-based recording systems rather than investigating consciousness itself or its neural mechanisms. The paper seems to be about methodology rather than consciousness research per se.",no,"This appears to be a technical/methodological paper describing a computer system for polysomnography. While it's likely an empirical research article, it seems to focus on describing hardware and software implementation rather than presenting research findings about sleep or consciousness.",no,"The paper mentions EEG recording as part of polysomnography, but it's not clear if the paper actually analyzes neural data. The focus appears to be on the technical aspects of data acquisition and storage rather than analysis of the neural signals themselves.",no,There is no mention of any complexity-family measures or quantitative analysis of neural signals. The paper appears to focus on technical aspects of data collection and preprocessing rather than applying complexity measures to the data.,Exclude,"This technical paper about polysomnography recording systems lacks direct investigation of consciousness, neural data analysis, or complexity measures. While related to sleep monitoring, the manuscript focuses on methodological infrastructure rather than empirical research into consciousness or neural mechanisms. Consequently, the paper does not meet the specified screening criteria for inclusion.",,Other / below screening threshold,1.4
Atypical presentation of L3 vertebral body osteochondroma mimicking cauda equina syndrome: a case report.,"BACKGROUND: Osteochondromas are common benign bone tumors, but spinal involvement is rare (<4%), with vertebral body origin being exceptionally uncommon. Neurological symptoms are typically mild and unilateral, making presentations mimicking incomplete cauda equina syndrome (CES) exceedingly rare. CASE PRESENTATION: A 58-year-old Indian male presented with progressive lower back pain, followed by bilateral lower limb weakness and saddle anesthesia. There was no history of trauma, radiation, malignancy, or inflammatory disease. Neurological examination revealed flaccid paraplegia, areflexia, and decreased sensation below L3. Magnetic resonance imaging showed a hyperintense lytic lesion in the L3 vertebral body compressing the thecal sac; computed tomography confirmed continuity with the cortical and medullary bone, suggestive of spinal osteochondroma. The patient underwent L3 laminectomy with pedicle screw fixation at L2 and L4. Histopathology confirmed benign osteochondroma. At 6 months, the patient showed substantial motor recovery with no recurrence. CASE DISCUSSION: Spinal osteochondromas usually arise from posterior elements. Vertebral body involvement is extremely rare. This case is notable for its late presentation in an elderly patient without known risk factors. The incomplete CES presentation was likely due to selective nerve root compression and possible ischemia. Imaging was critical in diagnosis, and surgical excision remains the treatment of choice. Literature supports low recurrence after complete resection, though long-term outcomes remain underreported. CONCLUSION: This case highlights a rare vertebral body osteochondroma mimicking incomplete CES. Early imaging and prompt surgical management are essential to avoid permanent neurological deficits. Further research is needed to understand pathogenesis in older adults without typical risk factors.","Agarwal S, Majety SK, Agarwal R, Veluru C, Earni SC, Anumolu A",,,Annals of medicine and surgery (2012),,2025,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It focuses on a clinical case of spinal osteochondroma and its neurological manifestations, which are not related to consciousness research.",yes,"The paper is an empirical research article presenting a clinical case study with imaging and surgical outcomes, but it is a single case report rather than a systematic review or meta-analysis.",no,"The paper does not analyze any neural data. The imaging studies (MRI and CT) are anatomical and used for diagnosis, rather than neural recordings or functional imaging of brain activity.",no,"The paper does not apply any complexity-family measures. The analysis is purely clinical and anatomical, focusing on imaging findings and surgical outcomes, without any quantitative complexity measures or analysis of neural dynamics.",Exclude,"This clinical case report on spinal osteochondroma fails to meet the systematic review's screening criteria, as it does not investigate consciousness, analyze neural data, or apply complexity-family measures. The study is a single case report focused on clinical diagnosis and surgical outcomes, which falls outside the specified research parameters for consciousness and neural complexity research.",,Other / below screening threshold,0.1
"Pharmacodynamic interaction between propofol and remifentanil regarding hypnosis, tolerance of laryngoscopy, bispectral index, and electroencephalographic approximate entropy.","BACKGROUND: The purpose of this investigation was to describe the pharmacodynamic interaction between propofol and remifentanil for probability of no response to shaking and shouting, probability of no response to laryngoscopy, Bispectral Index (BIS), and electroencephalographic approximate entropy (AE). METHODS: Twenty healthy volunteers received either propofol or remifentanil alone and then concurrently with a fixed concentration of remifentanil or propofol, respectively, via a target-controlled infusion. Responses to shaking and shouting and to laryngoscopy were assessed multiple times after allowing for plasma effect site equilibration. The raw electroencephalogram and BIS were recorded throughout the study, and AE was calculated off-line. Response surfaces were fit to the clinical response data using logistic regression or hierarchical response models. Response surfaces were also estimated for BIS and AE. Surfaces were visualized using three-dimensional rotations. Model parameters were estimated with NONMEM. RESULTS: Remifentanil alone had no appreciable effect on response to shaking and shouting or response to laryngoscopy. Propofol could ablate both responses. Modest remifentanil concentrations dramatically reduced the concentrations of propofol required to ablate both responses. The hierarchical response surface described the data better than empirical logistic regression. BIS and AE are more sensitive to propofol than to remifentanil. CONCLUSIONS: Remifentanil alone is ineffective at ablating response to stimuli but demonstrates potent synergy with propofol. BIS and AE values corresponding to 95% probability of ablating response are influenced by the combination of propofol and remifentanil to achieve this endpoint, with higher propofol concentrations producing lower values for BIS and AE.","Bouillon TW, Bruhn J, Radulescu L, Andresen C, Shafer TJ, Cohane C, Shafer SL",,,Anesthesiology,,2004,yes,"The study investigates states of consciousness through anesthesia, specifically examining responses to stimuli (shaking and shouting, laryngoscopy) under propofol and remifentanil. It also measures consciousness-related metrics (BIS and approximate entropy). This directly studies transitions between conscious states and uses neural signatures of consciousness.",yes,This is an empirical research article with original data collection and analysis. The study includes 20 healthy volunteers and presents quantitative results from experimental manipulations.,yes,"The study explicitly analyzes EEG data, using both BIS (Bispectral Index) and approximate entropy (AE) as measures. BIS is a processed EEG measure, and AE is a direct analysis of EEG data.",yes,"The study uses approximate entropy (AE), which is a complexity-family measure related to the entropy family. While BIS is also used, AE is specifically mentioned as being calculated from the raw EEG data.",Include,"This empirical research study investigates consciousness transitions during anesthesia by analyzing EEG data using complexity measures like approximate entropy. The investigation meets all screening criteria through its quantitative analysis of neural data, explicit focus on conscious state transitions, and application of complexity-family measures to understand anesthetic-induced unconsciousness.",,,4.9
Acetylcholine functionally reorganizes neocortical microcircuits.,"Sensory information is processed and transmitted through the synaptic structure of local cortical circuits, but it is unclear how modulation of this architecture influences the cortical representation of sensory stimuli. Acetylcholine (ACh) promotes attention and arousal and is thought to increase the signal-to-noise ratio of sensory input in primary sensory cortices. Using high-speed two-photon calcium imaging in a thalamocortical somatosensory slice preparation, we recorded action potential activity of up to 900 neurons simultaneously and compared local cortical circuit activations with and without bath presence of ACh. We found that ACh reduced weak pairwise relationships and excluded neurons that were already unreliable during circuit activity. Using action potential activity from the imaged population, we generated functional wiring diagrams based on the statistical dependencies of activity between neurons. ACh pruned weak functional connections from spontaneous circuit activations and yielded a more modular and hierarchical circuit structure, which biased activity to flow in a more feedforward fashion. Neurons that were active in response to thalamic input had reduced pairwise dependencies overall, but strong correlations were conserved. This coincided with a prolonged period during which neurons showed temporally precise responses to thalamic input. Our results demonstrate that ACh reorganizes functional circuit structure in a manner that may enhance the integration and discriminability of thalamic afferent input within local neocortical circuitry.","Runfeldt MJ, Sadovsky AJ, MacLean JN",,,Journal of neurophysiology,,2014,maybe,"The paper focuses on neural circuit processing and acetylcholine's role in attention and arousal, which are related to consciousness. However, it doesn't explicitly investigate consciousness states or transitions. The study examines neural mechanisms that could influence conscious processing, but consciousness isn't directly addressed as a primary focus.",yes,This is clearly an empirical research article with original experimental data and analysis. The study uses two-photon calcium imaging to record neural activity and presents novel findings.,yes,"The study directly analyzes empirical neural data through high-speed two-photon calcium imaging, recording of action potential activity from up to 900 neurons, and analysis of functional circuit activations.",maybe,"The study applies several quantitative measures to analyze neural data, including statistical dependencies between neurons, functional wiring diagrams, pairwise relationships, and modular and hierarchical circuit structure analysis. While these are quantitative measures, they don't explicitly match the specific complexity-family measures listed in the criteria (e.g., entropy, Lempel-Ziv complexity, etc.).",Include,"This empirical neuroscience study provides detailed neural circuit analysis using calcium imaging, demonstrating strong methodological rigor in examining neural network dynamics. While the research implicitly relates to consciousness through mechanisms of attention and arousal, it does not directly investigate consciousness states or explicitly apply the specified complexity-family measures. The study's quantitative approach to neural circuit structure offers insights into neural processing mechanisms.",,,3.5
Conscious auditory perception related to long-range synchrony of gamma oscillations.,"While the role of synchronized oscillatory activity in the gamma-band frequency range for conscious perception is well established in the visual domain, there is limited evidence concerning neurophysiological mechanisms in conscious auditory perception. In the current study, we addressed this issue with 64-channel EEG and a dichotic listening (DL) task in twenty-five healthy participants. The typical finding of DL is a more frequent conscious perception of the speech syllable presented to the right ear (RE), which is attributed to the supremacy of the contralateral pathways running from the RE to the speech-dominant left hemisphere. In contrast, the left ear (LE) input initially accesses the right hemisphere and needs additional transfer via interhemispheric pathways before it is processed in the left hemisphere. Using lagged phase synchronization (LPS) analysis and eLORETA source estimation we examined the functional connectivity between right and left primary and secondary auditory cortices in the main frequency bands (delta, theta, alpha, beta, gamma) during RE/LE-reports. Interhemispheric LPS between right and left primary and secondary auditory cortices was specifically increased in the gamma-band range, when participants consciously perceived the syllable presented to the LE. Our results suggest that synchronous gamma oscillations are involved in interhemispheric transfer of auditory information.","Steinmann S, Leicht G, Ertl M, Andreou C, Polomac N, Westerhausen R, Friederici AD, Mulert C",,,NeuroImage,,2014,yes,"The paper directly investigates conscious perception, specifically focusing on conscious auditory perception and the neural mechanisms underlying it. The study explicitly examines how auditory information becomes consciously perceived, particularly in the context of dichotic listening and interhemispheric transfer.",yes,"This is an empirical research article with original data collection and analysis from 25 participants using EEG recordings. It's not a commentary, review, or theoretical paper.",yes,"The study uses 64-channel EEG recordings and applies sophisticated analysis techniques including lagged phase synchronization (LPS) and eLORETA source estimation. They analyze neural data across multiple frequency bands (delta, theta, alpha, beta, gamma).",maybe,"The study uses lagged phase synchronization (LPS) analysis, which is a measure of functional connectivity and phase relationships between brain regions. While this is a quantitative measure of neural interactions, it's not explicitly clear from the abstract whether this falls within the specific ""complexity-family measures"" listed in the criteria. However, phase synchronization analysis is related to measures of neural complexity and information transfer, and the study examines interhemispheric connectivity patterns.",Include,"This empirical research study investigates conscious auditory perception using EEG recordings, analyzing neural interactions across multiple frequency bands through sophisticated phase synchronization techniques. The work directly examines consciousness by exploring how auditory information becomes consciously perceived, utilizing quantitative neural data analysis methods that probe interhemispheric connectivity and information transfer. While the specific complexity measure used is not explicitly listed in the screening criteria, the study's approach aligns closely with the requirements for investigating neural mechanisms of conscious perception.",,,4.6
A RARE CLINICAL CASE OF A GIANT LIPOMA OF THE RIGHT THIGH.,"INTRODUCTION: Lipoma is a benign tumor of adipose tissue, most often located in the subcutaneous tissue or deep soft tissues. It is usually solitary, slow-growing, and asymptomatic. Giant lipomas (≥10 cm or ≥1 kg) are rare and may cause compression of blood vessels and nerves, restricted mobility, and cosmetic deformity. Genetic predisposition is associated with mutations in genes such as High Mobility Group AT-hook 2 (HMGA2) and Domain-Containing Preferred Translocation Partner in Lipoma (LPP). Diagnosis is based on clinical examination and imaging, including ultrasonography, CT, and, in diagnostically equivocal cases, MRI. Suspicious cases are confirmed by histology to rule out malignant tumors. CLINICAL PRESENTATION: Patient O., 65 years old, was admitted to the surgical department with a giant lipoma of the right thigh, present for over 15 years and associated with discomfort, a feeling of heaviness, and cramps. On examination, a mass measuring 40 × 35 cm was detected, of soft-elastic consistency, painless, mobile, with no skin changes. Diagnostic work-up included ultrasonography (US), computed tomography (CT), and biopsy, confirming a benign lipoma. Planned surgical excision was performed under spinal anesthesia; the lipoma was completely removed. The excised mass measured 50 × 35 cm and weighed 5700 g. The surgery was uneventful, with a blood loss of 100 ml. The postoperative period was smooth; drains were removed on postoperative days 4-5, and sutures were removed on days 9-10. The patient was discharged in satisfactory condition, with complete wound healing and a recommendation for follow-up with a surgeon. DISCUSSION: Giant lipomas are rare but can cause compression of blood vessels and nerves, restricted mobility, and cosmetic discomfort. Their size and atypical course may mimic malignant tumors, necessitating thorough preoperative evaluation using MRI, histology, and, if necessary, genetic testing by fluorescence in situ hybridization (FISH) for MDM2 (Mouse Double Minute 2) gene amplification. The primary and safest treatment remains radical surgical excision with preservation of anatomical structures. Small or cosmetically significant lipomas may be treated with less invasive methods, but giant forms require full surgical intervention to restore function and improve the patient's quality of life. CONCLUSION: Giant thigh lipomas require a comprehensive and carefully planned approach, including thorough diagnostic assessment and radical surgical intervention. Effective treatment results in sustained improvement of the patient's physical and psycho-emotional condition, reduction of pain, and restoration of quality of life, as reflected by a marked improvement in SF-36 and EQ-5D scores during long-term follow-up.","Auyenov M, Aimagambetov M, Dyusupov A, Kairkhanov E, Kazangapova A, Imangazinova S, Abdrakhmanov S, Masalov A, Zhumazhanova A, Auуenov A, Auyenov D, Bakdauletov R",,,Georgian medical news,,2026,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It does not mention consciousness-related mechanisms or neural signatures. The paper focuses entirely on the clinical presentation, diagnosis, and surgical treatment of a physical condition (a giant lipoma).",no,"While the paper is an empirical research article (a case report), it is not the type of empirical research relevant to the systematic review's focus on consciousness research. The empirical data presented relates to clinical measurements and surgical outcomes, not consciousness research.",no,"The paper does not analyze any neural data. The diagnostic methods mentioned (ultrasonography, CT, MRI) are standard clinical imaging techniques, not neural recordings. There is no mention of EEG, MEG, fMRI, or any other neural measurement techniques.",no,"The paper does not apply any complexity-family measures. The only quantitative measures mentioned are clinical measurements (tumor size, weight, blood loss) and quality of life scores (SF-36 and EQ-5D). There is no analysis using entropy, complexity, or other measures specified in the criteria.",Exclude,"This clinical case report about a giant lipoma fails to meet any of the specified screening criteria related to consciousness research. The paper contains no investigation of consciousness, neural data analysis, or complexity measures, and instead focuses exclusively on clinical diagnosis and surgical treatment of a benign tumor. Consequently, the study does not align with the systematic review's research parameters.",,Other / below screening threshold,0.1
Insights into Accelerated MRI Protocols for Pediatric Brain Assessment in Emergency Cases.,"Two accelerated magnetic resonance imaging (MRI) protocols for pediatric brain imaging, GOBrain and Deep Resolve Swift Brain, developed by Siemens Healthineers (Erlangen, Germany), were evaluated in a series of clinically relevant pediatric cases at 3 Tesla. Pediatric patients are particularly prone to motion, may be uncooperative, and often require sedation, especially in emergency settings. Consequently, there is a persistent clinical demand for fast brain MRI protocols that provide diagnostically sufficient image quality while minimizing examination time. Contemporary turbo spin-echo (TSE)-based clinical protocols commonly integrate parallel imaging (PI) and simultaneous multi-slice (SMS) techniques to achieve substantial reductions in scan time. Recent advances in three-dimensional volumetric encoding, compressed sensing, and deep learning (DL)-based reconstruction have further mitigated geometry-factor-related noise amplification, enabling higher acceleration factors (GOBrain). In parallel, echo-planar imaging (EPI) has emerged as a promising approach for ultrafast multi-contrast imaging. To overcome the limitations of single-shot EPI, a multi-shot EPI-based brain MRI protocol combined with the DL-based reconstruction method Deep Resolve Swift Brain has been developed. This approach leverages the efficiency of EPI while improving image quality. Using these accelerated protocols, a comprehensive diagnostic multi-contrast brain MRI examination, particularly suited to triage and emergency imaging, can be completed in minutes. This case overview, including therapy-related leukencephalopathy in acute lymphoblastic leukemia (ALL), a brain abscess, traumatic diffuse axonal injury (DAI), a posterior circulation infarction due to vertebral artery dissection, leuokostasis syndrome, and a posterior fossa tumor with obstructive hydrocephalus, demonstrates the potential clinical feasibility of both protocols in pediatric neuroimaging. Both protocols position them as supplementary options alongside established imaging protocols, while dedicated high-resolution protocols might remain necessary for subtle pathological findings, such as focal cortical dysplasia, and for neuronavigation until larger comparative studies are available.","Kendel JG, Bender B, Gohla G, Bevot A, Hauser TK, Ernemann U, Ruff C",,,"Diagnostics (Basel, Switzerland)",,2026,no,"The paper does not investigate consciousness, states of consciousness, or transitions between conscious states. It is focused on MRI protocols for pediatric brain imaging, particularly in emergency and clinical settings, and does not explicitly interpret findings in relation to consciousness or neural signatures/mechanisms of consciousness.",yes,"The paper appears to be an empirical research article presenting case studies of two MRI protocols (GOBrain and Deep Resolve Swift Brain) in pediatric patients, rather than a conference abstract, editorial, commentary, opinion piece, narrative perspective, or theoretical/simulation-only paper.",no,"The paper focuses on MRI imaging protocols but does not analyze neural data in the sense specified by the criteria (EEG, MEG, fMRI/BOLD, etc.). While MRI is a neuroimaging technique, the paper appears to focus on protocol development and image quality rather than analyzing neural activity or function.",no,The paper does not mention or apply any of the specified complexity-family measures. The analysis appears to focus on image quality and clinical feasibility rather than quantitative complexity measures of neural activity.,Exclude,"This research paper on pediatric MRI protocols fails to meet most screening criteria related to consciousness research, lacking investigation of conscious states, neural data analysis, or complexity-family measures. While the study represents an empirical research article, its focus on imaging protocol development diverges significantly from the systematic review's requirements for consciousness and neural complexity research.",,Other / below screening threshold,0.1
A wavelet transform based method to determine depth of anesthesia to prevent awareness during general anesthesia.,"Awareness during general anesthesia for its serious psychological effects on patients and some juristically problems for anesthetists has been an important challenge during past decades. Monitoring depth of anesthesia is a fundamental solution to this problem. The induction of anesthesia alters frequency and mean of amplitudes of the electroencephalogram (EEG), and its phase couplings. We analyzed EEG changes for phase coupling between delta and alpha subbands using a new algorithm for depth of general anesthesia measurement based on complex wavelet transform (CWT) in patients anesthetized by Propofol. Entropy and histogram of modulated signals were calculated by taking bispectral index (BIS) values as reference. Entropies corresponding to different BIS intervals using Mann-Whitney U test showed that they had different continuous distributions. The results demonstrated that there is a phase coupling between 3 and 4 Hz in delta and 8-9 Hz in alpha subbands and these changes are shown better at the channel T 7 of EEG. Moreover, when BIS values increase, the entropy value of modulated signal also increases and vice versa. In addition, measuring phase coupling between delta and alpha subbands of EEG signals through continuous CWT analysis reveals the depth of anesthesia level. As a result, awareness during anesthesia can be prevented.","Mousavi SM, Adamoğlu A, Demiralp T, Shayesteh MG",,,Computational and mathematical methods in medicine,,2014,yes,"The paper directly investigates consciousness during general anesthesia, specifically focusing on awareness during anesthesia. This is explicitly about states of consciousness and transitions between conscious states (wakefulness to anesthesia). The study aims to monitor depth of anesthesia to prevent awareness, which is fundamentally a consciousness-related phenomenon.",yes,This appears to be an empirical research article with original data analysis. The abstract describes specific methodology and results from analyzing EEG data in patients under anesthesia.,yes,"The study directly analyzes empirical neural data through EEG recordings, specifically examining phase coupling between delta and alpha subbands. They use complex wavelet transform (CWT) analysis on actual EEG data from patients.",yes,"The study applies multiple quantitative measures: entropy analysis of modulated signals, histogram analysis, phase coupling analysis, and complex wavelet transform (CWT). These are legitimate complexity-family measures used as primary analyses, not just theoretical discussions.",Include,"This empirical research study directly investigates consciousness during general anesthesia by analyzing EEG neural data using complex quantitative measures like entropy and phase coupling. The work systematically examines transitions between conscious states through sophisticated neural signal processing techniques, providing a comprehensive approach to understanding anesthesia-induced consciousness changes. Multiple complexity-family measures are applied to empirically analyze neural data, making this a robust investigation of consciousness-related neural mechanisms.",,,4.9
[Clinical manifestations of 16 patients with spontaneous spinal epidural hematoma -stroke mimic and pitfalls for diagnosis].,"Clinical manifestations of 16 patients with spontaneous spinal epidural hematoma were presented. We examined the point similar to that of stroke. During the initial visit of our hospital, the patients showed the hemiplegia in 10 cases (62.5%), Horner syndrome in 4 cases (25%), the painless onset in 1 case (6.3%). And one case showed the impairment of consciousness due to vagal reflex in severe pain onset, which was similar to those of subarachnoid hemorrhage. MRI images are useful to confirm the diagnosis. The frequent site of hematoma was the lower cervical spinal cord. The oval shaped hematomas shifted to the left or right in spinal canals, compressed spinal cords in axial image, which was a cause of hemiplegia. Many cases developed during active periods, and the hemorrhage might be relevant to oral antithrombotic agent, C hepatitis, and chronic renal failure. Rapidly progressive cases were indications for emergency surgery, but conservative therapy is also possible and was better prognosis.","Hara N, Otonari T, Nishihara N, Ota T, Kuriyama M",,,Rinsho shinkeigaku = Clinical neurology,,2014,no,"The paper only briefly mentions ""impairment of consciousness"" in one case due to vagal reflex, but this is not the focus of the study. The paper primarily investigates clinical manifestations of spinal epidural hematoma, and the consciousness aspect is merely an incidental observation rather than a systematic investigation of consciousness or its neural mechanisms.",yes,"This appears to be an empirical research article presenting clinical case data from 16 patients. While it meets the basic requirement of being an empirical study, it's primarily a clinical case series rather than a systematic investigation of consciousness or neural mechanisms.",no,"The study uses MRI imaging, but only for diagnostic purposes. There is no analysis of neural data in the sense required by the criteria (EEG, MEG, fMRI/BOLD, etc.). The imaging is used to confirm diagnosis rather than to study neural mechanisms or consciousness.",no,There is no mention or application of any complexity-family measures. The study focuses on clinical manifestations and diagnostic imaging without any analysis of neural complexity or information-theoretic measures.,Exclude,"This clinical case series on spinal epidural hematoma lacks systematic investigation of consciousness, neural mechanisms, or complexity measures. The study primarily focuses on clinical manifestations and diagnostic imaging, with only a peripheral mention of consciousness, thus failing to meet the core screening criteria for consciousness research. No empirical neural data analysis or quantitative complexity measures were applied.",,Other / below screening threshold,0.1
Fractal dimension of the EEG for detection of behavioural microsleeps.,"The fractal dimension (FD) of EEG has been shown to be of value in the detection of epileptic seizures. In this paper, we assess its usefulness in detecting behavioural microsleeps. Fifteen non-sleep-deprived normal subjects performed two 1-hour sessions of a continuous tracking task while EEG, EOG and facial video were recorded. Higuchi's algorithm was used to calculate the FD of the EEG. Video lapses were scored independently from tracking performance by a human rater. A subset of data was rated independently by three human raters observing both tracking performance and the video rating to identify behavioural microsleep events. The mean point-biserial correlation between FD and the mean human rating was -0.213 indicating modest agreement. Crossvalidated detection performance of the FD was poor with a mean correlation (.. = -0.099). This suggests that, on its own, FD of the EEG is unlikely to be useful for detecting microsleeps.","Peiris MR, Jones RD, Davidson PR, Bones PJ, Myall DJ",,,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,,2005,yes,"The paper investigates microsleeps, which are transitions between states of consciousness (wakefulness to sleep). This directly relates to consciousness research, particularly the detection of changes in conscious state. The study explicitly focuses on behavioral microsleeps and their neural correlates, making it clearly relevant to consciousness research.",yes,"This is clearly an empirical research article with original data collection and analysis. The study includes 15 subjects, specific measurements (EEG, EOG, video), and quantitative analysis.",yes,"The study directly analyzes empirical neural data, specifically EEG recordings. They use Higuchi's algorithm to calculate fractal dimension from EEG data.",yes,"The study applies fractal dimension (FD) analysis, which is a complexity-family measure. Fractal dimension is a quantitative measure that falls within the complexity/entropy family of measures. The study uses this as a primary analysis tool to detect microsleeps, not just theoretically discussing it.",Include,"This empirical research study investigates microsleeps using EEG data and fractal dimension analysis, directly addressing consciousness state transitions through quantitative neural complexity measures. The work meets all screening criteria by analyzing empirical neural data, applying complexity-family measures, and focusing on consciousness-related state changes in a methodologically rigorous manner.",,,4.9
Spectral entropy in monitoring anesthetic depth.,"Monitoring the brain response to hypnotics in general anesthesia, with the nociceptive and hemodynamic stimulus interaction, has been a subject of intense investigation for many years. Nowadays, monitors of depth of anesthesia are based in processed electroencephalogram by different algorithms, some of them unknown, to obtain a simplified numeric parameter approximate to brain activity state in each moment. In this review we evaluate if spectral entropy suitably reflects the brain electric behavior in response to hypnotics and the different intensity nociceptive stimulus effect during a surgical procedure.","Escontrela Rodríguez B, Gago Martínez A, Merino Julián I, Martínez Ruiz A",,,Revista espanola de anestesiologia y reanimacion,,2016,yes,"The paper explicitly focuses on consciousness-related states, specifically general anesthesia and depth of anesthesia monitoring, which directly relates to states of consciousness and transitions between them.",maybe,"The abstract indicates this is a review paper, and while it's not explicitly stated whether it's systematic, it appears to be a structured review of how spectral entropy relates to brain responses during anesthesia.",yes,"The paper focuses on processed electroencephalogram (EEG) data, which is a primary neural recording method. The review specifically examines how spectral entropy (a quantitative measure) is applied to EEG data during anesthesia.",yes,"The paper explicitly focuses on spectral entropy, which is a complexity-family measure. Spectral entropy is used to analyze brain electrical behavior in response to anesthetics and nociceptive stimuli.",Include,"This review systematically examines spectral entropy's application to brain electrical responses during general anesthesia, focusing on consciousness states and neural complexity measures. By analyzing EEG data and exploring how entropy reflects brain behavior under anesthetic conditions, the study meets key criteria for consciousness research involving empirical neural data and quantitative complexity-family measures.",,,4.6
